dt_data_competencia,nm_adm_desl,cd_uf,nm_uf,cd_divisao,nm_grupo,nm_divisao,saldo_total
2023-08-01,Admitido,42,Santa Catarina,28,Fabricação de máquinas e equipamentos de uso industrial específico,Fabricação de máquinas e equipamentos,480.0
2023-08-01,Admitido,42,Santa Catarina,28,Fabricação de tratores e de máquinas e equipamentos para a agricultura e pecuária,Fabricação de máquinas e equipamentos,253.0
2023-08-01,Admitido,42,Santa Catarina,28,"Fabricação de motores, bombas, compressores e equipamentos de transmissão",Fabricação de máquinas e equipamentos,309.0
2023-08-01,Admitido,42,Santa Catarina,28,Fabricação de máquinas-ferramenta,Fabricação de máquinas e equipamentos,93.0
2023-08-01,Admitido,42,Santa Catarina,28,Fabricação de máquinas e equipamentos de uso geral,Fabricação de máquinas e equipamentos,467.0
2023-08-01,Desligado,42,Santa Catarina,29,Recondicionamento e recuperação de motores para veículos automotores,"Fabricação de veículos automotores, reboques e carrocerias",-20.0
2023-08-01,Admitido,42,Santa Catarina,29,"Fabricação de automóveis, camionetas e utilitários","Fabricação de veículos automotores, reboques e carrocerias",21.0
2023-08-01,Admitido,42,Santa Catarina,29,Recondicionamento e recuperação de motores para veículos automotores,"Fabricação de veículos automotores, reboques e carrocerias",18.0
2023-08-01,Admitido,42,Santa Catarina,29,Fabricação de peças e acessórios para veículos automotores,"Fabricação de veículos automotores, reboques e carrocerias",497.0
2023-08-01,Admitido,42,Santa Catarina,29,"Fabricação de cabines, carrocerias e reboques para veículos automotores","Fabricação de veículos automotores, reboques e carrocerias",240.0
2023-08-01,Desligado,42,Santa Catarina,29,"Fabricação de automóveis, camionetas e utilitários","Fabricação de veículos automotores, reboques e carrocerias",-32.0
2023-08-01,Desligado,42,Santa Catarina,29,"Fabricação de cabines, carrocerias e reboques para veículos automotores","Fabricação de veículos automotores, reboques e carrocerias",-210.0
2023-08-01,Desligado,42,Santa Catarina,29,Fabricação de peças e acessórios para veículos automotores,"Fabricação de veículos automotores, reboques e carrocerias",-546.0
2023-08-01,Admitido,42,Santa Catarina,3,Aquicultura,Pesca e aqüicultura,6.0
2023-08-01,Admitido,42,Santa Catarina,3,Pesca,Pesca e aqüicultura,205.0
2023-08-01,Desligado,42,Santa Catarina,3,Pesca,Pesca e aqüicultura,-231.0
2023-08-01,Desligado,42,Santa Catarina,3,Aquicultura,Pesca e aqüicultura,-10.0
2023-08-01,Admitido,42,Santa Catarina,30,Fabricação de equipamentos de transporte não especificados anteriormente,"Fabricação de outros equipamentos de transporte, exceto veículos automotores",85.0
2023-08-01,Desligado,42,Santa Catarina,30,Construção de embarcações,"Fabricação de outros equipamentos de transporte, exceto veículos automotores",-214.0
2023-08-01,Desligado,42,Santa Catarina,30,Fabricação de equipamentos de transporte não especificados anteriormente,"Fabricação de outros equipamentos de transporte, exceto veículos automotores",-78.0
2023-08-01,Desligado,42,Santa Catarina,30,Fabricação de veículos ferroviários,"Fabricação de outros equipamentos de transporte, exceto veículos automotores",-1.0
2023-08-01,Admitido,42,Santa Catarina,30,Construção de embarcações,"Fabricação de outros equipamentos de transporte, exceto veículos automotores",153.0
2023-08-01,Admitido,42,Santa Catarina,31,Fabricação de móveis,Fabricação de móveis,1459.0
2023-08-01,Desligado,42,Santa Catarina,31,Fabricação de móveis,Fabricação de móveis,-1365.0
2023-08-01,Admitido,42,Santa Catarina,32,Fabricação de instrumentos musicais,Fabricação de produtos diversos,3.0
2023-08-01,Admitido,42,Santa Catarina,32,Fabricação de produtos diversos,Fabricação de produtos diversos,222.0
2023-08-01,Admitido,42,Santa Catarina,32,Fabricação de artefatos para pesca e esporte,Fabricação de produtos diversos,21.0
2023-08-01,Desligado,42,Santa Catarina,32,Fabricação de produtos diversos,Fabricação de produtos diversos,-167.0
2023-08-01,Desligado,42,Santa Catarina,32,Fabricação de instrumentos musicais,Fabricação de produtos diversos,-3.0
